Code,Description,Device,Status
CA,Cahners Hall RM 022,accs-ca-022-1,up
CB,Cabot Center RM 166,accs-cb-166-1,up
CB,Cabot Center RM 207,accs-cb-207-1,up
CB,Cabot Center - Cage Area,accs-cb-cage-1,up
CB,Cabot Center Cage,accs-cb-cage-2,up
CDF,Richards Hall CDF RM 037,accs-cdf-ri-test-1,up
CG,Cargill Hall RM 085,accs-cg-085-1,up
CH,Churchill Hall RM 327a,accs-ch-327a-1,up
CH,Churchill Hall RM 327a,accs-ch-327a-2,up
CLT,Charlotte-NC RM 1111,accs-clt-1111av-1,up
CLT,Charlotte-NC RM 1135,accs-clt-1135-1,up
CN,Cullinane Hall RM 100a,accs-cn-100a-1,up
CP,Columbus Place RM 349,accs-cp-349-1,up
CP,Columbus Place RM 449,accs-cp-449-1,up
CP,Columbus Place RM 549,accs-cp-549-1,up
CP,Columbus Place RM 600,accs-cp-600-1,up
CP,Columbus Place RM 84,accs-cp-84-1,up
CP,Columbus Garage,accs-cp-garage-temp-1,up
CSC,Curry Student Center RM 240,accs-csc-238-1,up
CSC,Curry Student Center RM 440,accs-csc-438-1,up
CSC,Curry Student Center RM 001,accs-csc-anc-1,up
CU,Cushing Hall RM 014,accs-cu-014-1,up
CV,Coventry RM 214,accs-cv-214-1,up
CV,Coventry RM 514,accs-cv-514-1,up
DA,Dana Center Hall RM 134a,accs-da-134a-1,up
DA,Dana Center Hall RM 134a,accs-da-134a-2,up
DA,Dana Center Hall RM 229,accs-da-229-1,up
DA,Dana Center Hall RM 229,accs-da-229-2,up
DA,Dana Hall RM 242,accs-da-242-1,up
DA,Dana Center Hall RM 434,accs-da-434-1,up
DA,Dana Center Hall RM 434,accs-da-434-2,up
DE,Dedham RM 221,accs-de-221-1,up
DG,Dodge Hall RM 133,accs-dg-133-1,up
DG,Dodge Hall RM 165,accs-dg-165-1,up
DG,Dodge Hall RM 433,accs-dg-433-1,up
DG,Dodge Hall RM 465,accs-dg-465-1,up
DK,Dockser Hall RM 204,accs-dk-204-1,up
DK,Dockser Hall RM 204,accs-dk-204-2,up
DK,Dockser Hall RM 204,accs-dk-204-3,up
DVA,Davenport A RM 100,accs-dva-100-1,up
DVA,Davenport A RM 300,accs-dva-300-1,up
DVA,Davenport A RM 500,accs-dva-500-1,up
DVB,Davenport B RM 115,accs-dvb-115-1,up
DVB,Davenport B RM 315,accs-dvb-315-1,up
DVB,Davenport B RM 515,accs-dvb-515-1,up
EC,Egan Center RM 118,accs-ec-118-1,up
EC,Egan Center RM 220,accs-ec-220-1,up
EC,Egan Center RM 220,accs-ec-220-2,up
EC,Egan Center RM 320,accs-ec-320-1,up
EC,Egan Center RM 420,accs-ec-420-1,up
EL,Ell Hall RM 003a,accs-el-003a-1,up
EL,Ell Hall RM 404a,accs-el-404a-1,up
EV,East Village RM 000M2,accs-ev-000m2-1,up
EV,East Village RM 012a,accs-ev-012a-1,up
EV,East Village RM 102c,accs-ev-102c-1,down
EV,East Village RM 1500m2,accs-ev-1500m2-1,up
EV,East Village RM 1500m2,accs-ev-1500m2-2,up
EV,East Village RM 1714,accs-ev-1714-1,up
EV,East Village RM 200m2,accs-ev-200m2-1,up
EV,East Village RM 300m2,accs-ev-300m2-1,up
EV,East Village RM 300m2,accs-ev-300m2-2,up
EV,East Village RM 900m2,accs-ev-900m2-1,up
EV,East Village RM 900m2,accs-ev-900m2-2,up
FENWAY,Fenway Center RM Basement,accs-fenway-1,up
FR,Forsyth RM 005,accs-fr-005-1,up
FR,Forsyth RM 206,accs-fr-206-1,up
FR,Forsyth RM 206,accs-fr-206-2,up
FR,Forsyth RM 206,accs-fr-206-3,up
FR,Forsyth RM 206,accs-fr-206-4,up
GG,Gainsborough Garage RM 001,accs-gg-001-1,up
HA,Hayden Hall RM 005,accs-ha-005-1,up
HA,Hayden Hall RM 011,accs-ha-011-1,up
HA,Hayden Hall RM 011,accs-ha-011-2,up
HA,Hayden Hall RM 011,accs-ha-011-3,up
HA,Hayden Hall RM 105,accs-ha-105a-1,up
HA,Hayden Hall RM 407,accs-ha-407-1,up
HBH,Henderson Boathouse RM 109,accs-hbh-109-1,up
HF,Hillel-Frager RM BSMT,accs-hf-bsmt-1,up
HO,Holmes RM 113,accs-ho-113-1,up
HO,Holmes RM 113,accs-ho-113-2,up
HO,Holmes RM 414,accs-ho-414-1,up
HO,Holmes RM 414,accs-ho-414-2,up
HS,Hastings RM 200,accs-hs-200a-1,up
HS,Hastings RM 200a,accs-hs-200a-2,up
HS,Hastings RM 744,accs-hs-744-1,up
HT,Hurtig Hall RM 126,accs-ht-126-1,up
HT,Hurtig Hall RM 329,accs-ht-329-1,up
INVC,International Village Center RM 031,accs-invc-031-1,up
INVE,International Village East RM 1278,accs-inve-1278-1,up
INVE,International Village East RM 1978,accs-inve-1978-1,up
INVE,International Village East RM 478,accs-inve-478-1,up
INVE,International Village East RM 578,accs-inve-578-1,up
INVE,International Village East RM 878,accs-inve-878-1,up
INVO,INV office room 208,accs-invo-208av-1,up
INVO,International Village Office RM 402,accs-invo-402-1,up
INVW,International Village West RM 1113,accs-invw-1113-1,up
INVW,International Village West RM 1613,accs-invw-1613-1,up
INVW,International Village West Penthouse,accs-invw-2000-1,up
INVW,International Village West RM 313,accs-invw-313-1,up
INVW,International Village West RM 513,accs-invw-513-1,up
INVW,International Village West RM 813,accs-invw-813-1,up
ISE,ISE Complex RM 003,accs-ise-003-1,up
ISE,ISE Complex RM 003,accs-ise-003-2,up
ISE,ISE Complex RM 063,accs-ise-063-1,up
ISE,ISE Complex RM 063,accs-ise-063-2,up
ISE,ISE Complex RM 106,accs-ise-106-1,up
ISE,ISE Complex RM 106,accs-ise-106-2,up
ISE,ISE Complex RM 145,accs-ise-145-1,up
ISE,ISE Complex RM 236,accs-ise-236-1,up
ISE,ISE Complex RM 275A,accs-ise-275a-1,up
ISE,ISE Complex RM 336,accs-ise-336-1,up
ISE,ISE Complex RM 336,accs-ise-336-2,up
ISE,ISE Complex RM 375A,accs-ise-375a-1,up
ISE,ISE Complex RM 436,accs-ise-436-1,up
ISE,ISE Complex RM 475A,accs-ise-475a-1,up
ISE,ISE Complex RM 536,accs-ise-536-1,up
ISE,ISE Complex RM 575A,accs-ise-575a-1,up
ISE,ISE Complex RM 636,accs-ise-636-1,up
ISE,ISE Complex RM 675A,accs-ise-675a-1,up
ISE,ISE Complex RM 675A,accs-ise-675a-2,up
KA,Kariotis RM 003,accs-ka-003-1,up
KE,Kennedy Hall RM 000,accs-ke-000-1,up
KE,Kennedy Hall RM 010,accs-ke-010-1,up
KN,Knowles Hall RM 138,accs-kn-138-1,up
KN,Knowles Hall RM 326,accs-kn-326-1,up
KR,Kerr Hall RM 220b,accs-kr-220b-1,up
KR,Kerr Hall Room 326,accs-kr-326-1,up
LA,Lake Hall RM 052,accs-la-052-1,up
LA,Lake Hall RM 452,accs-la-453-1,up
LC,Latino center RM 221,accs-lc-221-1,up
LI,Light Hall RM 010,accs-li-010-1,up
LONDON,London RM XXXX,accs-london-idf-a-1,up
LONDON,London RM XXXX,accs-london-idf-b-1,up
LONDON,London RM XXXX,accs-london-idf-c-1,up
LONDON,London RM XXXX,accs-london-mdf-1,up
LONDON,London RM XXXX,accs-london-mdf-server-1,up
MA,Matthews Arena RM 050,accs-ma-050-1,up
MA,Matthews Arena RM 091,accs-ma-091-1,up
MA,Matthews Arena RM 125,accs-ma-125-1,up
MA,Matthews Arena RM 300,accs-ma-300-1,up
MA,Matthews Arena RM 125,accs-ma-cntrlroom-1,up
MC,Marino Center Pop-up,accs-mc-152-1,up
MC,Marino Center RM 166,accs-mc-166-1,up
MD,Midtown Hotel,accs-md-admin-1,up
MD,Midtown Hotel,accs-md-h-1,up
MD,Midtown Hotel,accs-md-mdf-1,up
ME,Meserve RM 166a,accs-me-166a-1,up
ME,Meserve RM 436a,accs-me-436a-1,up
MGH,MGHPCC,accs-mgh-mda-r6c25-1,up
MGH,MGHPCC,accs-mgh-mda-r6c27-1,up
MGH,MGHPCC,accs-mgh-poda-r3c11-1,up
MGH,MGHPCC,accs-mgh-poda-r3c12-1,up
MGH,MGHPCC,accs-mgh-poda-r3c9-1,up
MGH,MGHPCC,accs-mgh-podc-r3c13-1,up
MGH,MGHPCC,accs-mgh-podc-r3c5-1,up
MGH,MGHPCC,accs-mgh-podc-r3c7-1,up
MGT,Marlborough DataCenter Colo 12 R2R3,accs-mgt-mr-c12-r2r3-1,up
MGT,Richards DataCenter RM 40 - Row 5 Rack 0,accs-mgt-ri-37-r5r0-1,up
MGT,Richards DataCenter RM 40 - NU,accs-mgt-ri-37-r7r5-1,up
MH,Melvin Hall RM 128,accs-mh-128-1,up
MSC,Marine Science Center RM 100n1,accs-msc-100n1-1,up
MSC,Nahant Bunker-113,accs-msc-gn-113-1,up
MSC,Nahant Bunker-113,accs-msc-gn-124-1,up
MSC,Marine Science Center Bunker-2b,accs-msc-gn-2b-1,up
MSC,Marine Science Center Pump House,accs-msc-pumphouse-1,down
MSC,Marine Science Center Trailer 1,accs-msc-trailer1-1,up
MSC,Marine Science Center Trailer 2,accs-msc-trailer2-1,up
MT,Marbury Terrace AAMARP,accs-mt-aamarp-1,up
MT,Marbury Terrace RM Office,accs-mt-office-1,up
MU,Mugar Hall RM 100m7,accs-mu-100m7-1,up
MU,Mugar Hall RM 100m7,accs-mu-100m7-2,up
MU,Mugar Hall RM 219b,accs-mu-219b-1,up
MU,Mugar Hall RM 317,accs-mu-317-1,up
MU,Mugar Hall RM 317,accs-mu-317-2,up
NI,Nightingale Hall RM 131,accs-ni-131-1,up
NI,Nightingale Hall RM 424,accs-ni-424-1,up
NI,Nightingale CDF RM 028,accs-ni-cdf-1,up
NICDF,Nightingale CDF RM 028,accs-nicdf-mgt-1,up
RB,Robinson Hall RM 208,accs-rb-208-1,up
RB,Robinson Hall RM 208,accs-rb-208-2,up
RG,Ruggles RM 100,accs-rg-1,up
RI,Richards Hall RM 118,accs-ri-118a-1,up
RI,Richards Hall RM 118,accs-ri-118a-2,up
RI,Richards Hall RM 118,accs-ri-118a-3,up
RI,Richards Hall RM 218,accs-ri-218-1,up
RI,Richards Hall RM 318,accs-ri-318-1,up
RI,Richards Hall CDF RM 037,accs-ri-37-farpoint-1,up
RI,Richards Hall Lab RM 44,accs-ri-44-test-1,up
RI,Richards Hall Lab RM 44,accs-ri-44-test-2,up
RI,Richards Hall Lab RM 44,accs-ri-44-test-4,up
RI,Richards Hall RM 118,accs-ri-44-test-5,up
RI,Richards CDF RM 37,accs-ri-44-test-7,down
RI,Richards Hall RM 451,accs-ri-451-1,up
RI,Richards Hall CDF - NU190177,accs-ri-cdf-1,up
RICDF,Richards Hall CDF RM 037,accs-ricdf-mgt-1,up
RICDF,Richards Hall CDF RM 037,accs-ricdf-mgt-2,up
RICDF,Richards Hall CDF RM 037,accs-ricdf-mgt-3,up
ROUX,Portland Roux Institute,accs-roux-123-1,up
RP,Renaissance Park RM 119,accs-rp-119-1,up
RP,Renaissance Park RM 119,accs-rp-119-2,down
RP,Renaissance Park RM 160h2 - EOCC,accs-rp-160h2-1,up
RP,Renaissance Park RM 200,accs-rp-200-1,up
RP,Renaissance Park RM 300,accs-rp-300-1,up
RP,Renaissance Park RM 400,accs-rp-400-1,up
RP,Renaissance Park RM 900,accs-rp-900-1,up
RPG,Renaissance Park Garage RM 001,accs-rpg-001-1,up
RU,Rubenstein Hall RM 013,accs-ru-013-1,up
RY,Ryder Hall RM 146,accs-ry-146-1,up
RY,Ryder Hall RM 146,accs-ry-146-2,up
RY,Ryder Hall RM 341,accs-ry-341-1,up
RY,Ryder Hall RM 341,accs-ry-341-2,up
RY,Ryder Hall RM 411,accs-ry-411-1,up
SB,Squashbusters RM 426,accs-sb-426-1,up
SC,Stetson Center RM 100,accs-sc-100-1,up
SC,Stetson Center RM 200,accs-sc-200-1,up
SC,Stetson Center RM 300,accs-sc-300-1,up
SC,Stetson Center RM 400,accs-sc-400-1,up
SE,Stetson East RM 112,accs-se-112-1,up
SE,Stetson East RM 212,accs-se-212-1,up
SE,Stetson East RM 312,accs-se-312-1,up
SE,Stetson East RM 412,accs-se-412-1,up
SE,Stetson East CDF - NU187381,accs-se-cdf-1,up
SEA,Seattle RM 100,accs-sea-100-1,up
SEA,Seattle RM 115,accs-sea-115-1,up
SEA,Seattle 225 FL 1,accs-sea-1xx-temp-1,up
SEA,Seattle 225 Terry Ave,accs-sea-225-1,up
SH,Shillman Hall RM 105,accs-sh-105av-1,up
SH,Shillman Hall RM 135,accs-sh-135av-1,up
SH,Shillman Hall RM 210,accs-sh-210av-1,up
SH,Shillman Hall RM 215,accs-sh-215av-1,up
SH,Shillman Hall RM 220,accs-sh-220av-1,up
SH,Shillman RM 243,accs-sh-243-1,up
SH,Shillman Hall RM 305,accs-sh-305av-1,up
SH,Shillman Hall RM 315,accs-sh-315av-1,up
SH,Shillman Hall RM 325,accs-sh-325av-1,up
SH,Shillman Hall RM 335,accs-sh-335av-1,up
SH,Shillman Hall RM 415,accs-sh-415av-1,up
SH,Shillman Hall RM 420,accs-sh-420av-1,down
SH,Shillman Hall RM 425,accs-sh-425av-1,up
SHERATON,Sheraton Floor 1,accs-sheraton-fl1,up
SHERATON,Sheraton Floor 10,accs-sheraton-fl10,up
SHERATON,Sheraton Floor 11,accs-sheraton-fl11,up
SHERATON,Sheraton Floor 12,accs-sheraton-fl12,up
SHERATON,Sheraton Floor 14,accs-sheraton-fl14,up
SHERATON,Sheraton Floor 15,accs-sheraton-fl15,up
SHERATON,Sheraton Floor 16,accs-sheraton-fl16,up
SHERATON,Sheraton Floor 17,accs-sheraton-fl17,up
SHERATON,Sheraton Floor 18,accs-sheraton-fl18,up
SHERATON,Sheraton Floor 19,accs-sheraton-fl19,up
SHERATON,Sheraton Floor 2,accs-sheraton-fl2,up
SHERATON,Sheraton Floor 20,accs-sheraton-fl20,up
SHERATON,Sheraton Floor 21,accs-sheraton-fl21,up
SHERATON,Sheraton Floor 22,accs-sheraton-fl22,up
SHERATON,Sheraton Floor 23,accs-sheraton-fl23,up
SHERATON,Sheraton Floor 24,accs-sheraton-fl24,up
SHERATON,Sheraton Floor 25,accs-sheraton-fl25,up
SHERATON,Sheraton Floor 26,accs-sheraton-fl26,up
SHERATON,Sheraton Floor 27,accs-sheraton-fl27,up
SHERATON,Sheraton Floor 28,accs-sheraton-fl28,up
SHERATON,Sheraton Floor 29,accs-sheraton-fl29,up
SHERATON,Sheraton Floor 13,accs-sheraton-fl4,up
SHERATON,Sheraton Floor 5,accs-sheraton-fl5,up
SHERATON,Sheraton Floor 6,accs-sheraton-fl6,up
SHERATON,Sheraton Floor 7,accs-sheraton-fl7,up
SHERATON,Sheraton Floor 8,accs-sheraton-fl8,up
SHERATON,Sheraton Floor 9,accs-sheraton-fl9,up
SJC,San Jose RM XXXX,accs-sjc-1008-1,up
SJC,San Jose RM 130C,accs-sjc-130c-1,up
SL,Snell Library RM 113,accs-sl-113-1,up
SL,Snell Library RM 148,accs-sl-148-1,up
SL,Snell Library RM 148,accs-sl-148-2,up
SL,Snell Library RM 230,accs-sl-230-1,up
SL,Snell Library RM 230,accs-sl-230-2,up
SL,Snell Library RM 268,accs-sl-268-1,up
SL,Snell Library RM 320,accs-sl-320-1,up
SL,Snell Library RM 368,accs-sl-368-1,up
SL,Snell Library RM 68,accs-sl-68-1,up
SL,Snell Library RM 79,accs-sl-79-1,up
SL,Snell Library CDF,accs-sl-cdf-1,up
SLCDF,Snell Library CDF RM 66,accs-slcdf-mgt-1,up
SM,Smith Hall RM 002,accs-sm-002-1,up
SM,Smith Hall West RM 100d1,accs-sm-100d1-1,up
SM,Smith Hall East RM 100d3,accs-sm-100d3-1,up
SN,Snell Engineering RM 112,accs-sn-112-1,up
SN,Snell Engineering RM 212,accs-sn-212-1,up
SN,Snell Engineering RM 280,accs-sn-280-1,up
SN,Snell Engineering RM 312,accs-sn-312-1,up
SN,Snell Engineering RM 412,accs-sn-412-1,up
SPE,Speare East RM 100m6,accs-spe-100m6-1,up
SPE,Speare East RM 100m6,accs-spe-100m6-2,up
SPE,Speare East RM 200m6,accs-spe-200m6-1,up
SPE,Speare East RM 300m6,accs-spe-300m6-1,up
SPE,Speare East RM 400m6,accs-spe-400m6-1,up
SPW,Speare West RM 100m5,accs-spw-100m5-1,up
SPW,Speare West RM 100m5,accs-spw-100m5-2,up
SPW,Speare West RM 200m5,accs-spw-200m5-1,up
SPW,Speare West RM 300m5,accs-spw-300m5-1,up
SPW,Speare West RM 400m5,accs-spw-400m5-1,up
SS,St. Stephens St. RM 006d1,accs-ss-006d1-1,up
SS,St. Stephens St. RM 011,accs-ss-011-1,up
SS,St. Stephens St. RM 106,accs-ss-106-1,up
ST,Stearns Hall RM 121,accs-st-121-1,up
ST,Stearns Hall RM 406,accs-st-406-1,up
STECDF,Stetson East CDF,accs-stecdf-mgt-1,up
STW,Stetson West Basement RM 021,accs-stw-021-1,up
SW,Stetson West RM 100,accs-sw-100-1,up
SW,Stetson West RM 200,accs-sw-200-1,up
SW,Stetson West RM 300,accs-sw-300-1,up
SW,Stetson West RM 400,accs-sw-400-1,up
TF,140 The Fenway RM 133,accs-tf-133-1,up
TF,140 The Fenway RM 173A,accs-tf-173a-1,up
TF,140 The Fenway RM 265B,accs-tf-265b-1,up
TF,140 The Fenway RM R312,accs-tf-r312-1,up
TF,140 The Fenway RM r410,accs-tf-r410-1,up
TF,140 The Fenway RM x411,accs-tf-x411-1,up
TO,Toronto - 100 King St. West,accs-to-46014-1,up
WH,White Hall RM 214,accs-wh-214-1,up
WH,White Hall RM 231,accs-wh-231-1,up
WH,White Hall RM 245,accs-wh-245-1,up
WI,Willis Hall RM 100,accs-wi-100-1,up
WI,Willis Hall RM 500,accs-wi-500-1,up
WS,Westin Hotel RM 1000,accs-ws-1000-1,up
WS,Westin Hotel RM 1100,accs-ws-1100-1,up
WS,Westin Hotel RM 1200,accs-ws-1200-1,up
WS,Westin Hotel RM 1300,accs-ws-1300-1,up
WS,Westin Hotel RM 1400,accs-ws-1400-1,up
WS,Westin Hotel RM 1500,accs-ws-1500-1,up
WS,Westin Hotel RM 1600,accs-ws-1600-1,up
WS,Westin Hotel RM 1700,accs-ws-1700-1,up
WS,Westin Hotel RM 1800,accs-ws-1800-1,up
WS,Westin Hotel RM 1900,accs-ws-1900-1,up
WS,Westin Hotel RM 200,accs-ws-200-1,up
WS,Westin Hotel RM 2000,accs-ws-2000-1,up
WS,Westin Hotel RM 2100,accs-ws-2100-1,up
WS,Westin Hotel RM 2200,accs-ws-2200-1,up
WS,Westin Hotel RM 2300,accs-ws-2300-1,up
WS,Westin Hotel RM 2400,accs-ws-2400-1,up
WS,Westin Hotel RM 2500,accs-ws-2500-1,up
WS,Westin Hotel RM 2600,accs-ws-2600-1,up
WS,Westin Hotel RM 300,accs-ws-300-1,up
WS,Westin Hotel RM 500,accs-ws-500-1,up
WS,Westin Hotel RM 700,accs-ws-700-1,up
WVAN,West Village A North Room 110,accs-wvan-110-1,up
WVAN,West Village A North Room 1200,accs-wvan-1200-1,up
WVAN,West Village A North Room 300,accs-wvan-300-1,up
WVAN,West Village A North Room 600,accs-wvan-600-1,up
WVAN,West Village A North Room 900,accs-wvan-900-1,up
WVAS,West Village A South Room 300,accs-wvas-300-1,up
WVAS,West Village A South Room 500,accs-wvas-500-1,up
WVB,West Village B 100-1,accs-wvb-100-1,up
WVB,West Village B 100-2,accs-wvb-100-2,up
WVC,West Village C Room 112,accs-wvc-112-1,up
WVC,West Village C Room 112,accs-wvc-112-2,up
WVE,West Village E RM 015,accs-wve-015-1,up
WVE,West Village E RM 500m4,accs-wve-500m4-1,up
WVE,West Village E RM 500m6,accs-wve-500m6-1,up
WVE,West Village E RM 800m4,accs-wve-800m4-1,up
WVE,West Village E RM 800m8,accs-wve-800m8-1,up
WVF,West Village F RM 044,accs-wvf-044-1,up
WVF,West Village F RM 102,accs-wvf-102av-1,up
WVF,West Village F Media RM 102,accs-wvf-170a-1,up
WVF,West Village F RM 400,accs-wvf-400-1,up
WVF,West Village F RM 400,accs-wvf-400-2,up
WVG,West Village G RM 200,accs-wvg-200-1,up
WVG,West Village G RM 500,accs-wvg-500-1,up
WVH,West Village H RM 020,accs-wvh-020-1,up
WVH,West Village H RM 102,accs-wvh-102-1,up
WVH,West Village H RM 1604,accs-wvh-1604-1,up
WVH,West Village H RM 1604,accs-wvh-1604-2,up
WVH,West Village H RM 206,accs-wvh-206-1,up
WVH,West Village H RM 304,accs-wvh-304-1,up
101BV,Belvidere RM 118,aggr-101bv-118-1,up
177HU,177 Huntington BDF 6th Flr Rm 611,aggr-177hu-611-1,up
216MAV,216 Mass Ave RM338C,aggr-216mav-338c-1,up
LONDON,London RM MDF,aggr-London-1,up
WESTIN,Westin Hotel Demark FL 5,aggr-Westin-demark-1,up
BK,Behrakis RM 053,aggr-bk-053-1,up
BL,Burlington-147 RM 105,aggr-bl-147-105-1,up
CP,Columbus Place RM 49,aggr-cp-49-1,up
CSC,Curry Student Center RM 001,aggr-csc-001-1,up
CV,Coventry RM 117,aggr-cv-117-1,up
DA,Dana Center RM 229,aggr-da-229-1,up
DAV,Davenport A BDF RM 100,aggr-dav-100-1,up
DG,Dodge Hall RM 068,aggr-dg-68-1,up
EC,Egan Center RM 118,aggr-ec-118-1,up
EV,East Village RM 200m2,aggr-ev-200m2-1,up
FR,Forsyth Bldg RM 206,aggr-fr-206-1,up
HS,Hastings RM 200,aggr-hs-200a-1,up
INV,International Village RM 478,aggr-inv-478-1,up
ISE,ISE Complex RM 106,aggr-ise-106-1,up
KN,Knowles Hall RM 013,aggr-kn-013-1,up
MA,Matthews Arena Attic RM 300,aggr-ma-300-1,up
MGH,MGHPCC,aggr-mgh-mda-r6c25-1,up
MU,Mugar Hall RM 116,aggr-mu-100m7-1,up
NI,Nightingale CDF RM 028,aggr-ni-28-1,up
RI,Datacenter RI 37 Row 7 Rack 6,aggr-ri-37-r7r6-1,up
RI,Richards Hall RM 37,aggr-ri-40-1,up
RI,Richards Hall Lab RM 44,aggr-ri-44-test-1,up
RP,Renaissance Park RM 119,aggr-rp-119-1,up
RY,Ryder Hall RM 146,aggr-ry-146-1,up
SB,Squashbusters RM 426,aggr-sb-426-1,up
SE,Stetson East CDF RM 038,aggr-se-38-1,up
SHERATON,Sheraton RM 400,aggr-sheraton-demark-1,up
SL,Snell Library RM 066,aggr-sl-66-1,up
SN,Snell Engineering RM 012,aggr-sn-12-1,up
SN,Snell Engineering RM 280,aggr-sn-280-1,up
SPW,Speare West RM 070,aggr-spw-070-1,up
SS,St. Stephens St. RM 006,aggr-ss-010-1,up
ST,Stearns Hall RM 001,aggr-st-001-1,up
TF,140 The Fenway RM 133,aggr-tf-133-1,up
WH,White Hall RM 231,aggr-wh-231-1,up
WS,Westin,aggr-ws-mdf-2,down
WVA,West Village A BDF RM 100,aggr-wva-100-1,up
WVE,West Village E RM 015,aggr-wve-015-1,up
WVG,West Village G RM 128,aggr-wvg-128-1,up
WVH,West Village H RM 1604,aggr-wvh-1604-1,up
TIME,Last Updated,9/8/2021 16:09,unknown
